Publication_ID,Publication,Authors,Year_of_Publication,Bibliographic_Reference,Excavation,Survey,Catalogue,Quantification,Years_of_Activity,Comment_Remarks,Team,Bibl_Abr
17,Atik 1995,Atik,1995,"Die Keramik aus den Sudthermen von Perge, Tubingen (IstMitt _ Beiheft 40).",1,0,1,0,1979-1985,,Turkish,Die Keramik aus den  ...

18,Aupert 1976,Aupert,1976,"Rapport sur les travaux de la mission de l'ecole française ˆ Amathonte en 1975, in: BCH 100, 1976, pp. 907-41.",1,0,1,0,1975,,French,Rapport sur les trav ...

19,Aupert 1980,Aupert,1980,"Objets de la vie quotidienne ˆ Argos en 585 ap. J.-C., in: 1980: etudes Argiennes, Paris (BCH Supplement VI) (pp. 395-457).",1,0,1,0,1974,,French,Objets de la vie quo ...

20,Aupert 1980a,Aupert,1980,"I. Thermes A et rue du Theatre, in: BCH 104, 1980, pp. 689-94.",1,0,1,0,1979,,French,I. Thermes A et rue  ...

21,Aupert 1986,Aupert,1986,"2. _ Thermes A et rue du Theatre, in: BCH 110, 1986, pp. 767-72.",1,0,1,0,1985,,French,2. _ Thermes A et ru ...

22,Aupert et al. 1980,Aupert et al.,1980,"Rapport sur les travaux de la Mission de l'ecole française ˆ Amathonte en 1979, in: BCH 104, 1980, pp. 805-22.",1,0,1,0,1979,,French,Rapport sur les trav ...

23,Bailey 1993,Bailey,1993,"Hellenistic and Roman pottery, in: G.B. Waywell/J.J. Wilkes, Excavations at Sparta: The Roman Stoa, 1988-1991. Preliminary report, part 1, in: BSA 88, 1993, pp. 221-49.",1,0,1,0,1988-1991,,British,Hellenistic and Roma ...

24,Bald-Romano 1994,Bald-Romano,1994,"A Hellenistic deposit from Corinth - evidence for interim activity (146-44 B.C.), in: Hesperia 63, 1994, pp. 57-104.",1,0,1,0,1947,,American,A Hellenistic deposi ...

25,Baly 1962,Baly,1962,"Pottery, in: H. Dunscombe Colt (ed.), 1962: Excavations at Nessana (Auja Hafir, Palestine), London (pp. 270-303).",1,0,1,0,1935-7,,British,"Pottery, in: H. Duns ..."

26,Bar-Nathan & Adato 1986,Bar-Nathan & Adato,1986,"Byzantine pottery (Stratum 5), in: L.I. Levine/E. Netzer, 1986: Excavations at Caesarea Maritima 1975, 1976, 1979 _ Final report, Jerusalem (Qedem 21) (pp. 132-6).",1,0,1,0,1975-6 & 1979,,Israelitish,Byzantine pottery (S ...

27,Bass 1982,Bass,1982,"The pottery, in: G.F. Bass/F.H. van Doorninck, jr., 1982: Yassi Ada Volume I. A seventh-century Byzantine shipwreck, College Station (Nautical Archaeology Series No. 1) (pp. 155-88).",1,0,1,0,1961-4 & 1980,,American,"The pottery, in: G.F ..."

28,Ben-Arieh 1997,Ben-Arieh,1997,"The Roman, Byzantine and Umayyad pottery, in: Y. Hirschfeld, 1997: The Roman baths of Hammat Gader. Final report, Jerusalem (pp. 347-81).",1,0,1,0,1979-1982,,Israelitish,"The Roman, Byzantine ..."

29,Berlin & Heath 2005,Berlin & Heath,2005,"Appendix. Ceramic observations, Hellenistic through Late Roman, in: S.E. Alcock/A.M. Berlin/A.B. Harrison/S. Heath/N. Spencer/D.L. Stone, Pylos Regional Archaeological Project, part VII, in: Hesperia 74, 2005, pp. 194-204.",0,1,1,0,,,American,Appendix. Ceramic ob ...

30,Berlin 1992,Berlin,1992,"Hellenistic and Roman pottery, preliminary report, 1990, in: R.L. Vann (ed.), 1992: Caesarea Papers. Stratonos Tower, Herodos Harbour, and Roman and Byzantine Caesarea. Including the papers given at a symposium held at the University of Maryland, The Smithsonian Institution, and the Jewish Community Center of Greater Washington on 25-28 March, 1988, Ann Arbor (JRA Supplementary Series 5) (pp. 112-28).",1,0,1,1,1990,,American,Hellenistic and Roma ...

31,Berlin 2000,Berlin,2000,"Appendix II: A stamped sigillata bowl base from Horvat 'Eleq, in: Y. Hirschfeld, 2000: Ramat Hanadiv excavations. Final Report of the 1984-1998 seasons, Jerusalem (pp. 746).",1,0,1,0,1984-1998,,Israelitish,Appendix II: A stamp ...

32,Berti 2000,Berti,2000,"I bolli italici di Iasos, in: RCRF Acta 36, 2000, pp. 497-502.",0,0,0,0,,,,I bolli italici di I ...

33,Beyll 1993,Beyll,1993,"Terra Sigillata aus der Marienkirche in Ephesos. Erste Zwischenbilanz, in: …AI Berichte und Materialien Heft 5, 1993, pp. 5-45.",1,0,1,0,1984-1990,,Austrian,Terra Sigillata aus  ...

34,Biers 1985,Biers,1985,"The great bath on the Lechaion Road, Princeton (Corinth XVII).",1,0,1,0,1965-1968,,American,The great bath on th ...

35,Boardman 1989,Boardman,1989,"The finds, in: M. Ballance/J. Boardman/S. Corbett/S. Hood, 1989: Excavations in Chios 1952-1955. Byzantine emporio, London (BSA Supplement 20) (pp. 86-142).",1,0,1,0,1952-1955,,British,"The finds, in: M. Ba ..."

36,Bommelje & Vroom 1995,Bommelje & Vroom,1995,"'Deserted and untilled lands': Aetolia in Roman Times, in: Pharos III, 1995, pp. 67-130.",0,1,1,0,1980's,,Dutch,'Deserted and untill ...

37,Bonifay & Leffy 2002,Bonifay & Leffy,2002,"Les ceramiques du remplissage de la citerne du Sarapeion ˆ Alexandrie, in: J.-Y. Empereur (ed.), 2002: Alexandrina 2 (etudes alexandrines 6) (pp. 39-84).",1,0,1,1,1998,,French,Les ceramiques du re ...

38,Bounegru & Erdemgil 1998,Bounegru & Erdemgil,1998,"Terra-Sigillata-Produktion in den Werkstetten von Pergamon-Ketiostal, Vorleufiger Bericht, in: IstMitt 48, 1998, pp. 263-77.",1,0,1,0,1977-1988,,Turkish,Terra-Sigillata-Prod ...

39,Breuer 1989,Breuer,1989,"Annexe 1. Sigillee marbree decoree de la Graufesenque (Drag. 29) trouvee ˆ Apamee de Syrie, in: M. Vanderhoeven, 1989: Les terres sigillees (1966-1972), Brussel (Fouilles doApamee de Syrie, IX.1) (pp. 111-3).",1,0,1,0,Pre-1940,,French,Annexe 1. Sigillee m ...

40,Brock 1949,Brock,1949,"Pottery, in: G. Mackworth Young/J.K. Brock, Excavations in Siphnos, in: BSA 44, 1949, pp. 31-74.",1,0,1,0,Before 1940,,British,"Pottery, in: G. Mack ..."

41,Brun & Brunet 1997,Brun & Brunet,1997,"Une huilerie du premier siècle avant J.-C. dans le Quartier du theatre ˆ Delos, in: BCH 121, 1997, pp. 573-615.",1,0,1,0,1906 & 1997,,French,Une huilerie du prem ...

42,Bruneau 1970,Bruneau,1970,"La vaisselle, in: Ph. Bruneau et al., 1970: Lo”lot de la maison des comediens, Paris (EAD Fascicule XXVII) (pp. 239-62).",1,0,1,0,1961-1964,,French,"La vaisselle, in: Ph ..."

43,Burkhalter 1987,Burkhalter,1987,"La ceramique hellenistique et romaine du sanctuaire doAphrodite ˆ Amathonte (fouilles 1976 ˆ 1982), in: BCH 111, 1987, pp. 353-95.",1,0,1,0,1976-1982,,French,La ceramique helleni ...

44,Calderon 1999,Calderon,1999,"The pottery, in: Y. Hirschfeld, 1999: The Early Byzantine monastery at Khirbet ed-Deir in the Judaean Desert: the excavations in 1981-1987, Jerusalem (Qedem 38) (pp. 135-47).",1,0,1,0,1981-1987,,Israelitish,"The pottery, in: Y.  ..."

45,Calderon 2000,Calderon,2000,"Appendix I: Byzantine pottery from South Sinai, in: U. Dahari et al., 2000: Monastic settlements in South Sinai in the Byzantine period, The Archaeological remains, Jerusalem (Israel Antiquities Authority Reports 9) (pp. 183-231).",1,1,1,0,,,Israelitish,Appendix I: Byzantin ...

46,Carmi et al. 1994,Carmi et al.,1994,"The dating of ancient water-wells by archaeological and 14C methods: comparative study of ceramic and wood, in: IEJ 44, 1994, pp. 184-200.",1,0,1,0,1987,,Israelitish,The dating of ancien ...

47,"Cherry, Davis & Mantzourani 1991","Cherry, Davis & Mantzourani",1991,"Landscape Archaeology as long-term history. Northern Keos in the Cycladic Islands from earliest settlement until modern times, Los Angeles (Monumenta Archaeologica 16).",0,1,1,1,1983-4,,American,Landscape Archaeolog ...

48,Christensen 1971,Christensen,1971,"Les terres sigillees orientales, in: A.P. Christensen/Ch.F. Johansen, 1971: Hama. Fouilles et recherches 1931-1938 III 2. Les poteries Hellenistiques et les terres sigillees orientales, Copenhagen (Nationalmuseets Skrifter VIII) (pp. 55-208).",1,0,1,0,1931-1938,,Danish,Les terres sigillees ...

49,Christensen 1986,Christensen,1986,"Les ceramiques romaines et Byzantines, in: A.P. Christensen/R. Thomsen/G. Ploug, 1986: Hama. Fouilles et recherches 1931-1938 III 3. The Graeco-Roman objects of clay, the coins and the necropolis, Copenhagen (Nationalsmuseets Skrifter X) (pp. 7-31).",1,0,1,0,1931-1938,,Danish,Les ceramiques romai ...

50,Clamer & Magness 1997,Clamer & Magness,1997,"La documentation materielle romaine et Byzantine. II. La ceramique romaine tardive de la periode Byzantine ancienne, in: Chr. Clamer, 1997: Fouilles archeologiques de 'Ain ez-Zara/Callirrhoe villegiature herodienne, Beirut (Bibliothèque Archeologique et Historique Tome 147) (pp. 81-9).",1,0,1,0,1985-1986,,French,La documentation mat ...

51,Clamer 1997,Clamer,1997,"La documentation materielle romaine et Byzantine. I. La ceramique de la periode romaine ancienne, la vaiselle de pierre et les stucs, in: Chr. Clamer, 1997: Fouilles archeologiques de 'Ain ez-Zara/Callirrhoe villegiature herodienne, Beirut (Bibliothèque Archeologique et Historique Tome 147) (pp. 63-80).",1,0,1,0,1985-1986,,French,La documentation mat ...

52,Coldstream 1972,Coldstream,1972,"Deposits of pottery from the settlement, in: J.N. Coldstream/G.L. Huxley (eds.), 1972: Kythera. Excavations and studies, London.",1,0,1,0,,,British,Deposits of pottery  ...

53,Coldstream 1973,Coldstream,1973,"The pottery, in: J.N. Coldstream, 1973: Knossos. The sanctuary of Demeter, London (BSA Supplement 8) (pp. 18-55).",1,0,1,0,1957-1960,,British,"The pottery, in: J.N ..."

54,Comfort & Waage 1936,Comfort & Waage,1936,"Selected pottery from Beth Shan (Roman date), in: Palestine Exploration Fund Quarterly Statement 68, 1936, pp. 221-4.",1,0,1,0,,,American,Selected pottery fro ...

55,Comfort 1929,Comfort,1929,"Arretine Signatures found in the Excavations in the Theatre District of Corinth, in: AJA 33, 1929, pp. 484-501.",1,0,1,0,1925-1928,,American,Arretine Signatures  ...

56,Comfort 1943,Comfort,1943,"Terra Sigillata from Minturnae, AJA 47, 1943, 313-330.",1,0,1,0,1931-1933,,American,Terra Sigillata from ...

57,Comfort 1948,Comfort,1948,"Imported western Terra Sigillata, in: F.O. Waage (ed.), 1948: Antioch on-the-Orontes IV: Part One, Ceramics and Islamic Coins, Princeton/London/The Hague 1948 (pp. 61-77).",1,0,1,0,,,American,Imported western Ter ...

58,Comfort 1958,Comfort,1958,"Imported pottery and glass from Timnao, in: R. LeBaron Bowen jr./F.P. Albright (eds.), 1958: Archaeological discoveries in South Arabia, Baltimore (pp. 199-212).",1,0,1,0,,,American,Imported pottery and ...

59,Comfort 1960,Comfort,1960,"Some imported pottery at Khor Rori (Dhofar), in: BASOR 160, 1960, pp. 15-20.",1,0,1,0,1960,,American,Some imported potter ...

60,Comfort 1982,Comfort,1982,"Signatures and decoration on Italian and Gaulish Sigillata at Sabratha, AJA 86, 1982, 483-507.",1,0,1,0,1948-1951,"Most of the stamps on ITS (and Gaulish) were covered by Comfort in this article. Some additional stamps, however, are to be found in Timby 1994.",British,Signatures and decor ...

61,Comfort 1991,Comfort,1991,"Terra Sigillata at Arikamedu, in: V. Begley/R.D. De Puma (eds.), 1991: Rome and India. The ancient sea trade, Wisconsin (pp. 134-50).",1,0,1,0,,,Indian-British,Terra Sigillata at A ...

62,Cornell 1997,Cornell,1997,"A note on the moulded bowls, in: S.C. Herbert (ed.), 1997: Tel Anafa II,i: The Hellenistic and Roman pottery, Ann Arbor (JRA Supplementary Series 10) (pp. 407-16.).",1,0,1,1,1968-1973 & 1979-1981,,American,A note on the moulde ...

63,Cox 1949,Cox,1949,"The Greek and Roman pottery (The excavations at Dura-Europos Final Report IV. Part I, Fascicle 2).",1,0,1,0,,,American-French,The Greek and Roman  ...

64,D'Andria 1969,D'Andria,1969,"Un piatto di ceramica 'pergamena', in: G. Busuttil et al., 1969: Missione archeologica italiana a Malta. Rapporto preliminare della campagna 1968, Roma (pp. 81-2).",1,0,1,0,1968,,Italian,Un piatto di ceramic ...

65,Daszewski et al. 1990,Daszewski et al.,1990,"Excavations at Marina el-Alamein: 1987-1988, in: Mitt.DAI.Kairo 46, 1990, pp. 15-51.",1,0,1,0,1987-1988,,Polish,Excavations at Marin ...

66,De Contenson 1963,De Contenson,1963,"Les fouilles ˆ Axoum en 1958. Rapport preliminaire, in: Annales d'ethiopie 5, 1963, pp. 3-16.",1,0,1,0,1958,,French,Les fouilles ˆ Axoum ...

67,De Tommaso 2001,De Tommaso,2001,"Ceramica a pareti sottili, in: A. DiVita (ed.), 2001: Gortina V.3. Lo scavo del pretorio (1989-1995). Volume V.3 t. I. I materiali, Padova (Monografie della Scuola Archeologica italiana di Atene e delle Missioni italiene in Oriente XII) (pp. 21-4).",1,0,1,1,1989-1995,,Italian,Ceramica a pareti so ...

68,Debevoise 1934,Debevoise,1934,"Parthian pottery from Seleucia on the Tigris, Ann Arbor (University of Michigan Studies, Humanistic Series XXXII).",1,0,1,0,1927-1932,,American,Parthian pottery fro ...

69,Dello Preite 1997,Dello Preite,1997,"Sigillata africana, Sigillata 'Late Roman C' ('Phocaean Red Slip Ware'), Sigillata cipriota tarda ('Cypriot Red Slip Ware') and Altre ceramiche fini tarde, in: A. DiVita/A. Martin (eds.), 1997: Gortina II. Pretorio. Il materiale degli scavi colini 1970-1977, Padova (Monografie della Scuola Archeologica italiana di Atene e delle Missioni italiene in Oriente VII) (pp. 132-200).",1,0,1,1,1970-1977,,Italian,"Sigillata africana,  ..."

70,Dello Preite 2004,Dello Preite,2004,"Ceramica Sigillata, in: A. DiVita (ed.), 2004: Gortina VI. Scavi 1979-1982, Padova (Monografie della Scuola Archeologica italiana di Atene e delle Missioni italiene in Oriente XIV) (pp. 426-36).",1,0,1,0,1979-1982,,Italian,"Ceramica Sigillata,  ..."

71,Delougaz 1960,Delougaz,1960,"The objects, in: P. Delougaz/R.C. Haines, 1960: A Byzantine church at Khirbet al-Karak (The University of Chicago Oriental Institute Publications Volume 85) (30-52).",1,0,1,1,,"""while tables I-II account for all the recorded sherds which could be assigned to the various classes or types at the time the sherd count was made.""",American,"The objects, in: P.  ..."

72,Demangel & Laumonier 1923,Demangel & Laumonier,1923,"Fouilles de Notion (1921). Première partie. Topographie, architecture, epigraphie, in: BCH 47, 1923, pp. 353-86.",1,0,1,0,1921,,French,Fouilles de Notion ( ...

73,Deroche & Petridis 1992,Deroche & Petridis,1992,"4. Agora romaine et 'Thermes du sud', in: BCH 116, 1992, pp. 709-11.",1,0,1,0,1991,"The excavations discussed in the article, of which this is only a part, were the continuation of excavations carried out in 1990, and perhaps prior to 1990.",French-Greek,4. Agora romaine et  ...

74,Deubner 1957,Deubner,1957,"Die griechischen Scherben von Babylon, in: F. Wetzel/E. Schmidt/A. Mallwitz, 1957: Das Babylon der Spetzeit, Berlin (Ausgrabungen der Deutschen Orient-Gesellschaft in Babylon 8) (Wissenschaftliche Vereffentlichungen der Deutschen Orient-Gesellschaft 62) (pp. 51-8).",1,0,1,0,1899-1917,,German,Die griechischen Sch ...

75,Diederichs 1980,Diederichs,1980,"Ceramiques hellenistiques, romaines et byzantines, Paris (Salamine de Chypre IX).",1,0,1,0,1965-1973,,French,Ceramiques hellenist ...

76,Doger 2007,Doger,2007,"Byzantine Ceramics: Excavations at Smyrna Agora(1997-98 and 2002-03), in: B. Behlendorf-Arslan et al.(eds), 2007: Late Antique and Medieval pottery and tiles in Mediterranean archaeological contexts. Proceedings of the First International Symposium on Late Antique, Byzantine, Seljuk, and Ottoman Pottery and Tiles in Archaeological Context (‚anakkale, 1-3 June 2005), Istanbul (Deutsches Archeologisches Institut Abteilung Istanbul)(Byzas 7, Vereffentlichungen des Deutschen Archeologischen Instituts Istanbul), 55-72",1,0,0,0,1997-98 & 2002-03,"This article does describe the pottery in text, but no systematic catalogue is present. Photographs and drawings are present",Turkish,Byzantine Ceramics:  ...

77,Domzalski 2002,Domzalski,2002,"XIII. Preliminary information on Terra Sigillata and Red Slip Wares from Chh”m, in: T. Waliszewski/R. Ortali-Tarazi, Village romain et byzantin ˆ Chh”m-Marjiyat. Rapport preliminaire (1996-2002), in: BAAL 6, 2002, pp. 77-85.",1,0,1,0,1996-2002,,Polish-Lebanese,XIII. Preliminary in ...

78,Dothan & Freedman 1967,Dothan & Freedman,1967,"Ashdod I. The first season of excavation 1962, Jerusalem.",1,0,1,0,1962,,Israelitish-American,Ashdod I. The first  ...

79,Dothan 1983,Dothan,1983,"Hammath Tiberias. Early synagogues and the Hellenistic and Roman remains, Jerusalem.",1,0,1,0,1961-1965,,Israelitish,Hammath Tiberias. Ea ...

80,Du Plat Taylor & Megaw 1981,Du Plat Taylor & Megaw,1981,"Excavations at Ayios Philon, The Ancient Carpasia Part II. The Early Christian buildings, in: RDAC 1981, pp. 209-50.",1,0,1,0,1935 & 1937-8,,British-Greek,Excavations at Ayios ...

81,Du Plat Taylor 1980,Du Plat Taylor,1980,"Excavations at Ayios Philon, The Ancient Carpasia Part I. The Classical to Roman periods, in: RDAC 1980, pp. 152-216.",1,0,1,0,1935 & 1937-8,,British-Greek,Excavations at Ayios ...

82,Dunand & Duru 1962,Dunand & Duru,1962,"Ceramique, in: M. Dunand/R. Duru, 1962: Oumm el-'Amed. Une ville de l'epoque hellenistique aux echelles de Tyr, Paris (etudes et Documents d'Archeologie Tome IV) (pp. 197-211).",1,0,1,0,,,French,"Ceramique, in: M. Du ..."

83,Dunham 1957,Dunham,1957,"The royal cemeteries of Kush IV: Royal tombs at Mero‘ and Barkal, Boston.",1,0,1,0,1916-1923,,American,The royal cemeteries ...

84,Elaigne 1998,Elaigne,1998,"Alexandrie. etude preliminaire d'un contexte ceramique du Haut-Empire, in: J.-Y. Empereur (ed.), 1998: Alexandrina 1, (etudes alexandrines 1) (pp. 75-114).",1,0,1,0,,,French,Alexandrie. etude  ...

85,Elaigne 2000,Elaigne,2000,"Fine ware from the Late Hellenistic (second half of the first century BC), Augustan and Tiberian deposits of the French excavations in Alexandria (Egypt), in: RCRF Acta 36, 2000, pp. 19-30.",1,0,1,1,,,French,Fine ware from the L ...

86,Etienne & Braun 1986,Etienne & Braun,1986,"La ceramique, in: R. Etienne/J.-P. Braun, 1986: Tenos I. Le sanctuaire de Poseidon et d'Amphitrite, Paris (Bibliothèque des ecoles Françaises d'Athènes et de Rome Fascicule 263) (pp. 201-31).",1,0,1,0,"1902-3, 1905, 1909, 19371973, 1975-6 & 1978",,French,"La ceramique, in: R. ..."

87,Feig 1985,Feig,1985,"Pottery, glass and coins from Magen, in: BASOR 258, 1985, pp. 33-40.",1,0,1,0,1976-1979,,Israelitish,"Pottery, glass and c ..."

88,Firat 2003,Firat,2003,"Roman period ceramics, in: H. Abbasoglu/W. Martini (eds.), 2003: Die Akropolis von Perge Band 1. Survey und Sondagen 1994-1997 (pp. 123-30).",1,0,1,0,1994-1997,,German-Turkish,Roman period ceramic ...

89,Fisher 1938,Fisher,1938,"Tombs. The southwest cemetery, in: C.H. Kraeling (ed.), 1938: Gerasa, city of the Decapolis, New Haven (pp. 549-71).",1,0,1,0,1928-1931 & 1933-1934,,American,Tombs. The southwest ...

90,Forsell 1996,Forsell,1996,"The Roman period, in: B. Wells (in collaboration with C. Runnels), 1996: The Berbati-Limnes Archaeological Survey 1988-1990, Stockholm (Acta Instituti Atheniensis Regni Sueciae, Series in 4¡, XLIV) (pp. 285-343).",0,1,1,1,1988-1990,,Swedish,"The Roman period, in ..."

91,Freed 1998,Freed,1998,"Pottery report, in: C. Wells/M. Carroll/J. Freed/D. Godden, The construction of decumanus VI N and the economy of the early colony of Carthage, in: J.T. Pe–a/J.J. Rossiter/ A.I. Wilson/C. Wells/M. Carroll/J. Freed/D. Godden, 1998: Carthage Papers. The early colony's economy, water supply, a public bath, and the mobilization of state olive oil, Portsmouth (JRA Supplementary Series 28) (pp. 18-63).",1,0,1,1,1996,,American-Canadian,"Pottery report, in:  ..."

92,Frost & Hadjidaki 1990,Frost & Hadjidaki,1990,"Excavations at the harbor of Phalasarna in Crete: the 1988 season, in: Hesperia 59, 1990, pp. 513-27.",1,0,1,0,1988,,American,Excavations at the h ...

93,Fulford & Timby 1994,Fulford & Timby,1994,"The fine wares, in: M.G. Fulford/D.P.S. Peacock, 1994: The circular harbour, north side. The pottery, Oxford (Excavations at Carthage. The British Mission Volume II, 2) (pp. 1-21).",1,0,1,1,,,Tunisian-British,"The fine wares, in:  ..."

94,Fulford 1994,Fulford,1994,"The deposits, in: M.G. Fulford/D.P.S. Peacock, 1994: The circular harbour, north side. The pottery, Oxford (Excavations at Carthage. The British Mission Volume II, 2) (pp. 76-96).",1,0,1,1,,,Tunisian-British,"The deposits, in: M. ..."

95,Gassner 1997,Gassner,1997,"Das Sudtor der Tetragonos-Agora. Keramik und Kleinfunde, Wien (FiE XIII/1/1).",1,0,1,0,1979-1981 & 1984,,Austrian,Das Sudtor der Tetra ...

96,Gebara 1982,Gebara,1982,"Remarques sur la sigillee orientale d'après les fouilles de Khan Khalde (Heldua), in: 1982: Archeologie au Levant. Recueil ˆ la memoire de Roger Saidah, Lyon/Paris (Collection de la Maison de l'Orient Mediterraneen No 12/Serie Archeologique, 9) (pp. 409-17).",1,0,1,0,1974-1975,,French-Lebanese,Remarques sur la sig ...

97,Giudice & Narbone 2000,Giudice & Narbone,2000,"Terre sigillata ellenistico-romane, in: F. Giudice et al., Paphos, Garrison's Camp. VIIa Campagna, in: RDAC 2000, pp. 270-5.",1,0,1,0,1994,,Italian,Terre sigillata elle ...

98,Giudice & Narbone 2001,Giudice & Narbone,2001,"Terre Sigillate ellenistico-romane, in: F. Giudice et al., Paphos, Garrison's Camp. VIIIa campagna, in: RDAC 2001, pp. 266-74.",1,0,1,0,1995,,Italian,Terre Sigillate elle ...

99,Giudice et al. 1999,Giudice et al.,1999,"Catalogo dei pezzi selezionati dal Q. 102, in: F. Giudice et al., Pafos, Garrison's Camp. VIa Campagna, in: RDAC 1999, pp. 283-301.",1,0,1,0,1993,,Italian,Catalogo dei pezzi s ...

100,"Giudice, Malfitana, Narbone & Privitera 1996","Giudice, Malfitana, Narbone & Privitera",1996,"Terre Sigillate Ellenistico-Romane e Lucerne, in: F. Giudice et al., Paphos, Garison's Camp. Campagna 1991, in: RDAC 1996, pp. 212-36.",1,0,1,0,1991,,Italian,Terre Sigillate Elle ...

101,Goethert 1985,Goethert,1985,"Leihgaben und Neuerwerbungen der Original- und Abgus-Sammlung in den Jahren 1983 - 1984, in: F.G. Maier, 1985: Alt-Paphos auf Cypern. Ausgrabungen zur Geschichte von Stadt und Heiligtum 1966-1984, Mainz (Trierer Winckelmannsprogramme Heft 6) (pp. 55-65).",1,0,1,0,1966-1984,"The piece of interest, a fragment of an ITS krater/chalice, was acquired in Alexandria.",German,Leihgaben und Neuerw ...

102,Gregory 1995,Gregory,1995,"The Roman bath at Isthmia: preliminary report 1972-1992, in: Hesperia 64, 1995, pp. 280-313.",1,0,1,0,1972-1992,,American,The Roman bath at Is ...

