File Name,Description,Creation date,Software used,Software version,Entity relationship diagram file name (this should be enclosed separately),Supporting documentation file name (this should be enclosed separately),,
,,,,Comment_Remarks,Comments or remarks about this deposit,text,1000,
ICRATES_PUBLICATION.csv,ICRATES publication table: Information about each publication from which published tableware evidence was recorded in the CATALOGUE table,Publication_ID,,Publication_ID,Unique identifier for each publication,integer,5,
,,,,Publication,"the surname of the author combined with the year of publication. In some cases, an author may have multiple publications from one year, in which case ‘a’ or ‘b’ can be added after the year ",text,500,
,,,,Authors,"surname of the first (and, if present, second) author",text,500,
,,,,Year_of_Publication,year of publication,integer,5,
,,,,Bibliographic_Reference,"the bibliographic reference. In the case of a journal, the title and the journal wherein it appeared are also entered. In the case of a monograph, the title and perhaps the series volume. In the case of an edited volume or conference proceedings, the title and the volume or Acta wherein it appeared.",text,5000,
,,,,Excavation,"Material from an excavation? 1=yes, 0=no",integer,1,
,,,,Survey,"Material from a survey? 1=yes, 0=no",integer,1,
,,,,Catalogue,Is the publication a catalogue describing individual ceramics and ceramic type?,integer,1,
,,,,Quantification,Is the publication a quantification summarising the ceramics and ceramic types found?,integer,1,
,,,,Years_of_Activity,The years in which the excavation or survey was active,text,100,
,,,,Comment_Remarks,Comments or remarks about this publication,text,1000,
,,,,Team,nationality of the team that undertook the archaeological investigations. This may concern a cooperation between two or perhaps even more nationalities,text,500,
,,,,Bibl_Abr,"The first characters of the bibliographic reference field, abbreviated from the Bibliographic_Reference field",text,1000,
ICRATES_STANDARD_FORM.csv,"ICRATES standard form table: typological and chronological information for the major tableware typologies:  ESA, ESB, ESC, ESD, Candarli, ITS, ARSW, CRSW, PRSW",Standard_Form_ID,,Standard_Form_ID,Unique identifier for each standard typo-chronological form,integer,5,
,,,,Standard_Form,"The following abbreviations are used, followed by the Form or Type number: ESA, ESB, ESD and Pontic Sigillata = EAA (for example, ESA Hayes Form 44 is ‘EAA44’), ESC (normally Meyer-Schlichtmann 1988) = M-S, again followed by the Form number, Candarli = LRP, ITS = Consp, In the case of a stamp on ITS = OCK, ARSW, CRSW and PRSW = LRP (for example, ARSW Hayes Form 84 is ‘LRP84’). All other wares do not have a typo-chronology at our disposal, although Gaulish Sigillata and thin-walled wares may be linked to Dragendorff and Marabini-Moevs respectively.",text,200,
,,,,Fabric,fabric of the sherd,text,200,
,,,,Standard_Typo_chronological_Lower_Date,The lower chronological date associate with this standard form according to the typology,integer,5,
,,,,Standard_Typo_chronological_Upper_Date,The upper chronological date associate with this standard form according to the typology,integer,5,
ICRATES_OCK.csv,ICRATES OCK table: chronological information of ITS stamps,OCK_ID,,OCK_ID,Unique identifier per OCK stamp type,integer,5,
,,,,OCK_Number,OCK number of ITS stamps,text,100,
,,,,OCK_Lower_Date,The lower chronological date associate with this OCK stamp,integer,5,
,,,,OCK_Upper_Date,The upper chronological date associate with this OCK stamp,integer,5,
ICRATES_LRP.csv,"ICRATES LRP table: chronological information about late roman pottery stamps for the following wares: ARSW, CRSW, PRSW, ERSW",LRP_ID,,LRP_ID,Unique identifier per LRP stamp type,integer,5,
,,,,Standard_LRP_Stamp,"LRP number of ARSW, CRSW, PRSW, ERSW stamps",text,100,
,,,,Sort_of_Stamp,Description and decoration of stamp type,text,500,
,,,,LRP_Stamp_Lower_Date,The lower chronological date associate with this LRP stamp,integer,5,
,,,,LRP_Stamp_Upper_Date,The upper chronological date associate with this LRP stamp,integer,5,
,,,,,,,,
